iter	Passed	Remaining
432	1611	5831
433	1615	5828
434	1618	5823
435	1625	5832
436	1631	5833
437	1637	5839
438	1641	5837
439	1646	5836
440	1648	5828
441	1652	5825
442	1657	5824
443	1661	5822
444	1663	5814
445	1666	5806
446	1672	5809
447	1675	5804
448	1678	5797
449	1681	5791
450	1685	5787
451	1689	5785
452	1693	5782
453	1696	5777
454	1700	5774
455	1706	5777
456	1709	5772
457	1713	5767
458	1716	5763
459	1720	5760
460	1725	5759
461	1728	5754
462	1733	5753
463	1737	5752
464	1740	5746
465	1743	5738
466	1746	5731
467	1748	5725
468	1752	5720
469	1755	5714
470	1758	5707
471	1759	5697
472	1762	5690
473	1766	5685
474	1768	5677
475	1771	5672
476	1774	5666
477	1777	5660
478	1781	5656
479	1784	5649
480	1787	5644
