iter	Passed	Remaining
448	1162	6604
449	1165	6605
450	1167	6598
451	1171	6602
452	1174	6604
453	1178	6608
454	1182	6611
455	1186	6618
456	1189	6617
457	1192	6619
458	1194	6610
459	1197	6610
460	1200	6610
461	1203	6610
462	1205	6605
463	1218	6660
464	1223	6670
465	1226	6670
466	1229	6671
467	1233	6672
468	1235	6666
469	1238	6667
470	1241	6666
471	1244	6665
472	1246	6661
473	1249	6660
474	1253	6662
475	1256	6663
476	1260	6664
477	1263	6665
478	1267	6669
479	1271	6673
480	1275	6680
481	1279	6682
482	1282	6683
483	1284	6678
484	1288	6680
485	1291	6680
486	1294	6680
487	1297	6680
488	1300	6679
489	1304	6682
490	1308	6684
491	1311	6684
492	1314	6683
493	1317	6684
494	1321	6685
495	1324	6686
496	1327	6685
497	1330	6683
498	1333	6684
499	1337	6685
500	1340	6685
501	1343	6683
502	1346	6685
503	1351	6690
504	1354	6691
505	1357	6689
506	1360	6691
507	1364	6695
508	1368	6696
509	1371	6696
510	1373	6690
511	1376	6691
512	1380	6692
513	1383	6691
514	1386	6687
515	1389	6688
516	1392	6689
517	1396	6689
518	1398	6686
519	1402	6688
520	1405	6688
521	1407	6681
522	1410	6678
523	1412	6674
524	1415	6675
525	1419	6674
526	1420	6666
527	1421	6657
528	1423	6648
529	1425	6645
530	1429	6645
531	1431	6642
532	1435	6642
533	1437	6639
534	1440	6637
535	1443	6635
536	1446	6633
537	1449	6631
538	1452	6634
539	1455	6632
540	1459	6632
541	1462	6631
542	1464	6628
543	1467	6627
544	1469	6618
545	1472	6618
546	1476	6619
547	1479	6618
548	1482	6618
549	1486	6619
550	1489	6620
551	1493	6624
552	1496	6623
553	1500	6624
554	1503	6623
555	1506	6620
556	1507	6613
557	1510	6610
558	1513	6608
559	1516	6609
560	1519	6607
561	1522	6606
562	1525	6605
563	1528	6602
564	1531	6601
565	1534	6599
566	1537	6596
567	1540	6596
568	1543	6594
569	1546	6593
570	1549	6592
571	1552	6588
572	1554	6586
573	1556	6580
574	1559	6578
575	1563	6577
576	1566	6579
577	1569	6578
578	1571	6570
579	1574	6569
580	1577	6569
581	1581	6570
582	1584	6570
583	1588	6570
584	1591	6569
585	1594	6568
586	1597	6567
587	1600	6566
588	1603	6563
589	1606	6562
590	1610	6563
591	1613	6562
592	1616	6562
593	1620	6563
594	1623	6561
595	1626	6560
596	1631	6565
597	1634	6564
598	1637	6564
599	1641	6564
600	1643	6561
601	1645	6553
602	1649	6555
603	1653	6558
604	1657	6560
605	1661	6562
606	1665	6564
607	1669	6567
608	1673	6569
609	1677	6570
610	1679	6568
611	1683	6570
612	1687	6571
613	1690	6570
614	1694	6570
615	1698	6571
616	1701	6570
617	1704	6570
618	1708	6570
619	1711	6570
620	1714	6569
621	1716	6562
622	1720	6564
623	1724	6565
624	1727	6564
625	1730	6564
626	1733	6562
627	1737	6561
628	1740	6561
629	1744	6560
630	1747	6560
631	1750	6559
632	1753	6558
633	1757	6559
634	1760	6556
635	1763	6555
636	1766	6552
637	1767	6544
638	1771	6544
639	1774	6543
640	1777	6542
641	1781	6541
642	1784	6542
643	1786	6536
644	1789	6534
645	1793	6537
646	1797	6538
647	1799	6531
648	1802	6530
649	1806	6531
650	1810	6531
651	1813	6532
652	1817	6533
653	1821	6533
654	1824	6532
655	1828	6532
656	1831	6531
657	1834	6530
658	1838	6530
659	1841	6529
660	1845	6531
661	1849	6531
662	1852	6529
663	1856	6531
664	1860	6533
665	1863	6531
666	1866	6528
667	1869	6527
668	1872	6525
669	1874	6519
670	1876	6514
671	1880	6515
672	1883	6513
673	1886	6512
674	1888	6504
675	1891	6502
676	1894	6502
677	1898	6501
678	1899	6494
679	1902	6492
680	1906	6491
681	1909	6491
682	1913	6491
683	1916	6490
684	1920	6490
685	1924	6490
686	1928	6491
687	1930	6486
688	1933	6485
689	1936	6483
690	1939	6481
691	1943	6483
692	1945	6477
693	1948	6475
694	1952	6474
695	1955	6471
696	1958	6470
697	1961	6468
698	1963	6462
699	1966	6459
700	1968	6457
701	1971	6453
702	1974	6452
703	1978	6451
704	1981	6449
705	1984	6447
706	1987	6445
707	1990	6443
708	1993	6441
709	1996	6439
710	1999	6437
711	2003	6437
712	2006	6436
713	2009	6434
714	2013	6433
715	2016	6432
716	2020	6434
717	2024	6433
718	2027	6432
719	2030	6431
720	2034	6431
721	2037	6429
722	2041	6429
723	2045	6429
724	2048	6427
725	2051	6424
726	2054	6423
727	2057	6422
728	2060	6420
729	2064	6418
730	2066	6414
731	2069	6411
732	2072	6409
733	2076	6410
734	2079	6409
735	2083	6409
736	2086	6407
737	2091	6409
738	2094	6407
739	2097	6406
740	2100	6404
741	2104	6404
742	2108	6405
743	2111	6402
744	2114	6400
745	2117	6398
746	2122	6400
747	2125	6400
748	2129	6399
749	2132	6397
750	2136	6397
751	2140	6398
752	2142	6394
753	2146	6394
754	2150	6394
755	2153	6392
756	2157	6392
757	2160	6390
758	2164	6389
759	2167	6389
760	2171	6387
761	2172	6382
762	2175	6378
763	2179	6378
764	2183	6379
765	2186	6376
766	2190	6377
767	2193	6375
768	2197	6374
769	2200	6373
770	2204	6372
771	2207	6370
772	2210	6367
773	2214	6368
774	2218	6369
775	2222	6369
776	2225	6367
777	2229	6367
778	2232	6365
779	2234	6360
780	2238	6359
781	2241	6358
782	2244	6355
783	2248	6355
784	2251	6353
785	2255	6352
786	2258	6352
787	2262	6351
788	2265	6347
789	2267	6344
790	2271	6342
791	2274	6340
792	2275	6333
793	2278	6330
794	2281	6327
795	2284	6325
796	2287	6323
797	2290	6321
798	2293	6316
799	2294	6310
800	2298	6311
801	2302	6310
802	2306	6310
803	2309	6309
804	2312	6306
805	2315	6303
806	2318	6301
807	2321	6298
808	2324	6295
809	2327	6293
810	2330	6290
811	2333	6288
812	2336	6285
813	2339	6283
814	2341	6277
815	2343	6273
816	2347	6271
817	2348	6263
818	2350	6260
819	2354	6258
820	2357	6256
821	2359	6253
822	2362	6250
823	2365	6247
824	2368	6244
825	2372	6243
826	2375	6242
827	2378	6240
828	2381	6236
829	2384	6233
830	2387	6231
831	2390	6227
832	2393	6226
833	2397	6226
834	2402	6228
835	2406	6228
836	2409	6226
837	2412	6222
838	2415	6221
839	2419	6221
840	2422	6218
841	2425	6217
842	2428	6214
843	2432	6212
844	2435	6212
845	2439	6211
846	2443	6210
847	2446	6208
848	2450	6207
849	2453	6206
850	2457	6205
851	2460	6204
852	2463	6201
853	2467	6199
854	2470	6198
855	2474	6197
856	2478	6198
857	2481	6196
858	2485	6195
859	2489	6194
860	2492	6192
861	2496	6192
862	2500	6191
863	2503	6188
864	2505	6185
865	2509	6183
866	2512	6181
867	2514	6176
868	2517	6172
869	2520	6169
870	2523	6168
871	2526	6165
872	2530	6164
873	2533	6161
874	2536	6160
875	2539	6157
876	2543	6156
877	2546	6154
878	2549	6151
879	2552	6149
880	2554	6144
881	2557	6141
882	2560	6138
883	2562	6134
884	2565	6131
885	2568	6128
886	2572	6128
887	2575	6126
888	2578	6123
889	2582	6121
890	2584	6118
891	2588	6116
892	2590	6112
893	2593	6109
894	2597	6108
895	2600	6105
896	2603	6104
897	2607	6102
898	2610	6101
899	2614	6100
900	2618	6099
901	2621	6098
902	2625	6096
903	2628	6093
904	2632	6093
905	2634	6089
906	2639	6090
907	2642	6088
908	2645	6086
909	2649	6084
910	2652	6082
911	2656	6081
912	2659	6079
913	2663	6079
914	2667	6077
915	2671	6077
916	2674	6074
917	2677	6073
918	2681	6071
919	2684	6070
920	2687	6067
921	2691	6065
922	2694	6062
923	2697	6061
924	2701	6060
925	2704	6056
926	2707	6055
927	2710	6052
928	2714	6050
929	2717	6048
930	2720	6045
931	2723	6042
932	2725	6039
933	2729	6037
934	2732	6035
935	2735	6032
936	2738	6029
937	2741	6027
938	2744	6024
939	2748	6022
940	2751	6020
941	2754	6017
942	2757	6014
943	2760	6011
944	2763	6009
945	2767	6008
946	2770	6005
947	2773	6002
948	2776	5999
949	2779	5997
950	2781	5993
951	2784	5991
952	2787	5988
953	2791	5986
954	2794	5983
955	2797	5981
956	2800	5977
957	2802	5974
958	2806	5972
959	2809	5969
960	2812	5966
961	2815	5963
962	2818	5961
963	2821	5959
964	2824	5956
965	2828	5954
966	2831	5953
967	2835	5951
968	2838	5949
969	2841	5947
970	2844	5943
971	2848	5942
972	2851	5941
973	2855	5940
974	2859	5938
975	2863	5937
976	2866	5935
977	2869	5932
978	2872	5930
979	2876	5928
980	2881	5930
981	2883	5926
982	2886	5923
983	2889	5920
984	2892	5917
985	2896	5915
986	2899	5913
987	2902	5911
988	2906	5908
989	2909	5906
990	2912	5903
991	2915	5901
992	2919	5900
993	2922	5897
994	2925	5895
995	2928	5892
996	2932	5891
997	2935	5888
998	2939	5886
999	2942	5885
1000	2945	5882
1001	2949	5881
1002	2953	5880
1003	2957	5878
1004	2960	5877
1005	2964	5875
1006	2967	5873
1007	2971	5872
1008	2975	5870
1009	2978	5868
1010	2981	5866
1011	2985	5865
1012	2989	5863
1013	2993	5862
1014	2996	5859
1015	2999	5857
1016	3003	5857
1017	3007	5856
1018	3011	5854
1019	3014	5852
1020	3017	5849
1021	3021	5847
1022	3023	5844
1023	3028	5843
1024	3031	5841
1025	3034	5838
1026	3037	5835
1027	3040	5832
1028	3043	5829
1029	3046	5827
1030	3050	5824
1031	3053	5823
1032	3056	5819
1033	3059	5816
1034	3063	5815
1035	3066	5812
1036	3070	5811
1037	3073	5809
1038	3077	5808
1039	3080	5806
1040	3084	5804
1041	3087	5802
1042	3091	5800
1043	3094	5798
1044	3097	5795
1045	3101	5793
1046	3104	5791
1047	3108	5789
1048	3111	5786
1049	3114	5784
1050	3118	5782
1051	3121	5779
1052	3124	5777
1053	3128	5775
1054	3131	5773
1055	3134	5770
1056	3137	5768
1057	3141	5767
1058	3145	5764
1059	3149	5763
1060	3152	5760
1061	3155	5757
1062	3158	5756
1063	3162	5753
1064	3165	5751
1065	3168	5748
1066	3171	5745
1067	3175	5744
1068	3179	5742
1069	3182	5739
1070	3185	5737
1071	3188	5734
1072	3191	5732
1073	3195	5730
1074	3198	5727
1075	3202	5725
1076	3205	5723
1077	3208	5721
1078	3211	5717
1079	3214	5715
1080	3218	5713
1081	3221	5710
1082	3225	5708
1083	3228	5707
1084	3232	5705
1085	3236	5703
1086	3239	5701
1087	3242	5698
1088	3246	5696
1089	3250	5695
1090	3253	5692
1091	3256	5690
1092	3260	5687
1093	3263	5685
1094	3267	5684
1095	3270	5681
1096	3273	5678
1097	3276	5674
1098	3278	5671
1099	3282	5669
1100	3286	5668
1101	3290	5667
1102	3293	5664
1103	3297	5662
1104	3300	5660
1105	3304	5658
1106	3307	5655
1107	3310	5652
1108	3313	5649
1109	3315	5645
1110	3318	5642
1111	3322	5640
1112	3325	5637
1113	3328	5635
1114	3331	5632
1115	3334	5629
1116	3337	5626
1117	3340	5623
1118	3344	5621
1119	3347	5618
1120	3349	5614
1121	3352	5611
1122	3356	5609
1123	3359	5606
1124	3362	5604
1125	3366	5602
1126	3369	5600
1127	3372	5597
1128	3376	5595
1129	3379	5592
1130	3383	5590
1131	3386	5587
1132	3389	5586
1133	3393	5583
1134	3396	5580
1135	3399	5578
1136	3403	5576
1137	3406	5574
1138	3410	5573
1139	3414	5571
1140	3417	5568
1141	3421	5565
1142	3424	5562
1143	3427	5560
1144	3431	5559
1145	3434	5556
1146	3437	5553
1147	3441	5552
1148	3445	5549
1149	3448	5547
1150	3451	5544
1151	3455	5542
1152	3459	5542
1153	3464	5541
1154	3467	5539
1155	3470	5536
1156	3474	5534
1157	3478	5532
1158	3481	5530
1159	3485	5528
1160	3488	5526
1161	3492	5524
1162	3495	5521
1163	3499	5519
1164	3502	5516
1165	3505	5513
1166	3508	5511
1167	3512	5508
1168	3515	5506
1169	3518	5503
1170	3522	5501
1171	3525	5499
1172	3529	5497
1173	3532	5494
1174	3536	5492
1175	3539	5489
1176	3543	5488
1177	3546	5485
1178	3548	5481
1179	3552	5479
1180	3555	5476
1181	3558	5473
1182	3561	5470
1183	3564	5466
1184	3568	5465
1185	3571	5462
1186	3573	5458
1187	3576	5455
1188	3579	5452
1189	3582	5448
1190	3585	5445
1191	3588	5442
1192	3591	5439
1193	3594	5436
1194	3597	5433
1195	3600	5431
1196	3603	5428
1197	3606	5425
1198	3610	5423
1199	3615	5423
1200	3619	5421
1201	3623	5420
1202	3626	5417
1203	3630	5415
1204	3633	5412
1205	3637	5410
1206	3639	5405
1207	3641	5402
1208	3644	5398
1209	3647	5395
1210	3650	5393
1211	3653	5389
1212	3655	5385
1213	3658	5382
1214	3661	5379
1215	3664	5375
1216	3667	5372
1217	3670	5370
1218	3674	5368
1219	3678	5367
1220	3681	5364
1221	3685	5361
1222	3689	5360
1223	3692	5357
1224	3695	5354
1225	3699	5352
1226	3702	5349
1227	3705	5346
1228	3708	5344
1229	3712	5341
1230	3715	5339
1231	3718	5336
1232	3722	5334
1233	3726	5332
1234	3730	5331
1235	3733	5328
1236	3736	5325
1237	3740	5323
1238	3744	5322
1239	3748	5320
1240	3753	5319
1241	3756	5317
1242	3760	5315
1243	3763	5312
1244	3767	5310
1245	3770	5307
1246	3774	5306
1247	3778	5304
1248	3782	5302
1249	3786	5300
