iter	RMSE
0	1146.031428
1	1133.901092
2	1123.667766
3	1113.004883
4	1102.404502
5	1091.767114
6	1082.38475
7	1072.535507
8	1063.508755
9	1054.310072
10	1045.533816
11	1038.034537
12	1029.404227
13	1021.000181
14	1012.710274
15	1006.134264
16	998.5491104
17	991.5542652
18	984.4726166
19	978.1452846
20	971.6815518
21	965.359667
22	959.4087876
23	953.4694679
24	947.6529318
25	941.8919775
26	936.6715858
27	930.7287706
28	925.210067
29	921.0100702
30	916.2604452
31	910.6492277
32	910.1648352
33	909.7279487
34	909.2593563
35	904.2742543
36	899.3717466
37	899.000263
38	897.3372711
39	896.9728509
40	896.5282789
41	892.2398426
42	887.359452
43	886.9731268
44	886.6517738
45	883.1114942
46	882.7949471
47	879.0399969
48	878.7293295
49	878.395256
50	878.064455
51	874.2355723
52	873.8970339
53	873.6000967
54	869.0335605
55	868.6728189
56	864.5194243
57	861.6401456
58	861.2707557
59	860.8981735
60	860.5947797
61	859.2462152
62	854.6295162
63	854.2812954
64	850.5545914
65	850.2867006
66	849.1556596
67	848.8927631
68	848.5495912
69	848.2308304
70	847.9755877
71	847.7226849
72	847.4075599
73	847.1398484
74	846.8944955
75	843.6089819
76	843.2901838
77	839.6854931
78	835.699126
79	832.0920783
80	831.829403
81	830.478626
82	827.1174085
83	826.8181506
84	826.5192582
85	826.2940207
86	822.7347151
87	822.3207718
88	821.9413014
89	818.4323364
90	818.2173057
91	818.0044215
92	817.7895606
93	817.5415214
94	817.3349122
95	813.727367
96	813.4744042
97	813.2728839
98	813.0733705
99	810.2444382
100	810.0481251
101	806.936564
102	806.744126
103	803.8417128
104	801.7807697
105	801.5244967
106	801.3226607
107	797.628457
108	797.4455088
109	797.2021733
110	794.028776
111	791.3133549
112	788.4909733
113	788.2938167
114	788.120873
115	787.93634
116	785.2588079
117	785.0903339
118	782.3069865
119	779.1410448
120	778.9767455
121	778.8004626
122	775.6309231
123	775.4374332
124	775.2748009
125	774.8067295
126	774.589578
127	774.4358006
128	774.2524217
129	774.1016768
130	773.8895859
131	771.1263657
132	768.0865381
133	765.451933
134	765.295541
135	765.1038293
136	764.9485908
137	763.7805961
138	762.4820569
139	762.345446
140	762.1912883
141	761.6396435
142	758.7154055
143	756.6344873
144	756.503802
145	756.3491205
146	753.9391899
147	753.8123173
148	753.6619721
149	751.6964952
150	749.3861922
151	749.2541146
152	749.0969357
153	746.7580338
154	743.9111062
155	741.7458713
156	739.1963319
157	738.9855979
158	736.7287029
159	736.6137041
160	735.5527364
161	734.2430666
162	734.1310945
163	732.9711372
164	732.7928548
165	732.6781819
166	732.5628755
167	732.4438622
168	732.3157376
169	730.6825931
170	728.5194996
171	728.3818575
172	726.3364205
173	726.2189463
174	724.1763673
175	722.353081
176	722.2351081
177	722.0427013
178	720.0564433
179	718.1386536
180	718.005964
181	715.695403
182	715.5928637
183	714.820327
184	714.709119
185	714.6190162
186	714.5099232
187	714.3923557
188	712.0213145
189	710.2105783
190	710.1240718
191	709.9822104
192	709.8975768
193	709.7367027
194	709.6539409
195	709.5162863
196	709.4140451
197	707.5036694
198	706.7405492
199	705.2211908
200	705.1282042
201	703.5630692
202	703.4860814
203	701.3324171
204	701.254298
205	701.1585798
206	701.0846281
207	699.164568
208	697.9860131
209	696.1729025
210	694.2198127
211	692.4522098
212	692.2131911
213	692.1437346
214	690.5017781
215	689.4178041
216	687.4091504
217	685.162988
218	682.7932021
219	680.3563428
220	678.2307526
221	676.3508069
222	674.3640777
223	672.3073979
224	670.3755446
225	668.456586
226	667.4028115
227	665.5219825
228	665.456581
229	663.5889346
230	663.5287925
231	663.4627438
232	661.6661308
233	660.0075142
234	658.2836455
235	658.2253912
236	658.1677517
237	656.8206787
238	656.7569046
239	656.6842453
240	656.6249816
241	655.5658708
242	655.5109992
243	653.4792763
244	653.424099
245	653.3536451
246	653.24172
247	651.889481
248	650.7444461
249	649.8528224
250	649.7974041
251	649.7464971
252	648.8894572
253	646.8344382
254	646.7750828
255	646.7260798
256	646.6344315
257	645.0501371
258	643.5945669
259	641.9879572
260	640.2884961
261	638.6016451
262	637.315997
263	636.5471306
264	636.4991421
265	636.4538862
266	635.1691208
267	635.1097472
268	634.8742811
269	633.3346344
270	633.2919626
271	632.1230303
272	630.6966181
273	630.6555491
274	630.2533862
275	630.0009378
276	628.6409896
277	628.4631806
278	628.4239653
279	626.9751852
280	625.4340559
281	624.1094155
282	622.7107003
283	621.9643793
284	621.9271356
285	621.8902914
286	621.8434245
287	621.7805212
288	621.2708398
289	621.2249885
290	621.1874182
291	620.6255568
292	619.2153125
293	618.4030221
294	618.3690334
295	617.6325023
296	617.5870883
297	616.5098982
298	615.7791651
299	614.0366195
300	612.4621124
301	612.4044274
302	612.0367597
303	612.0054521
304	610.5585016
305	610.5277282
306	610.0206206
307	608.6227561
308	607.512495
309	606.6764508
310	606.6422964
311	605.2914992
312	604.8962682
313	604.0905399
314	604.0574388
315	602.6846095
316	601.8273846
317	600.6444713
318	599.8299914
319	599.0880035
320	598.9431034
321	597.7478641
322	597.1004509
323	597.0743341
324	596.1617941
325	595.4662265
326	594.3644424
327	594.3256144
328	594.2481277
329	593.2775651
330	591.9368317
331	591.9122931
332	590.4099435
333	589.6914849
334	588.8685764
335	588.2251993
336	587.7374922
337	587.0788151
338	586.4023152
339	585.0639609
340	584.5812651
341	583.4907942
342	582.8513258
343	582.374916
344	581.8062425
345	581.185028
346	579.6373259
347	578.9532502
348	578.4768731
349	578.4438836
350	577.9507632
351	577.7677851
352	577.6983315
353	577.074089
354	575.7023244
355	575.6164809
356	574.9041748
357	574.8773946
358	574.3207413
359	572.9913918
360	572.6150401
361	572.0691856
362	571.5845684
363	571.1029179
364	571.0800325
365	570.8272329
366	569.6644553
367	568.704141
368	568.2203731
369	567.4728713
370	567.0629468
371	566.0940933
372	564.8071071
373	564.5933986
374	563.6759985
375	562.6720522
376	562.0893223
377	561.0828268
378	560.2590964
379	559.9738942
380	559.0139517
381	558.9911726
382	558.8255678
383	557.9282556
384	557.01895
385	556.3437478
386	555.1574255
387	555.0810716
388	554.071168
389	554.0496131
390	553.9559552
391	552.8861299
392	551.7377291
393	551.0744131
394	550.0728004
395	549.852358
396	548.8742872
397	547.8992625
398	546.8675318
399	545.8088352
400	544.8570897
401	544.7874363
402	544.011071
403	542.6478355
404	541.2837906
405	540.8337605
406	540.3713101
407	540.1648373
408	538.8763098
409	537.9938207
410	537.6395837
411	536.8534478
412	536.0641131
413	535.8614236
414	535.4177892
415	534.403128
416	534.1699917
417	533.4226879
418	532.86933
419	532.3840713
420	531.2306683
421	530.8862958
422	530.5016248
423	530.1561656
424	529.410159
425	528.8599835
426	528.7181538
427	528.3748014
428	527.3726848
429	526.6253582
430	526.5619499
431	525.8742694
432	525.7141583
433	524.5663617
434	523.6723173
435	523.6114613
436	523.5514655
437	522.564501
438	522.2966718
439	521.6074411
440	521.4904472
441	520.678859
442	520.4531929
443	519.6659078
444	519.1731953
445	518.4353181
446	518.2504716
447	517.6221799
448	516.9334048
449	516.3013032
450	516.2443714
451	515.4967366
