country,agricultural_land_percent,forest_land_percent,trade_in_services_percent,control_of_corruption_estimate,access_to_electricity_percent,renewvable_energy_consumption_percent,co2_emisions,inflation_annual_percent,goverment_effectiveness_estimate,doing_business,individuals_using_internet_percent,gdp_current_us,political_stability_estimate,rule_of_law_estimate,government_expenditure_on_education_percent,government_health_expenditure_percent,life_expectancy_at_birth,population,voice_and_accountability_estimate,intentional_homicides,income_group,continent
Belarus,41.81784735180004,42.9194451450129,22.86455649750404,-0.18566476525738823,98.7014129638672,7.168000000000001,56654.5,8.374673187601278,-0.3663667231798172,49.0,73.939778172,56669006674.5494,0.1775534436106682,-0.8548585891723635,4.977929973602295,3.97710929,73.99658536585369,9449597.4,-1.386199641227724,2.730385420416908,Upper_middle,Europe
Belgium,44.36078335535006,22.7642007926024,45.88229309675408,1.457697057723998,100.0,9.825999999999999,93673.51999999999,1.630247445592819,1.301512289047242,46.0,87.634374048,504065584820.694,0.4552502453327178,1.369079875946046,6.410736083984373,8.260484311999999,81.5029268292683,11379362.0,1.348305988311766,,High,Europe
Belize,7.523016220955723,57.45383603682594,35.45964796338594,-0.2210897535085678,92.73020367431641,33.358000000000004,667.14,0.2813097118751544,-0.6416916966438293,135.0,48.0333616,2276309496.20737,0.0359129517804831,-0.8873077273368836,5.7847660064697255,4.041196776,73.5564,374607.6,0.5310185611248018,36.080442767862806,Upper_middle,South America
Benin,35.0301525363604,29.134001418942898,8.774902116363673,-0.47832015752792356,36.03075811767578,46.236000000000004,6840.06,0.2267850422895282,-0.6252247095108032,149.0,17.174185268,12912799906.377321,-0.11407246068119994,-0.6388004064559933,3.108405208587648,0.601329596,59.8732,11604154.8,0.27870090231299394,1.1274974068,Lower_middle,Africa
Bhutan,13.5490767087134,71.29925680241199,15.353982913476262,1.3545090794563304,98.46804260253906,84.15799999999999,1293.46,3.6347017500711845,0.40285911560058596,89.0,55.65588851,2414589159.425806,1.0624915838241582,0.5616787075996398,6.022029113769532,2.630895284,70.86240000000001,755742.2,0.013327973522245901,1.351502907458624,Lower_middle,Asia
Bolivia,34.907898864580446,47.55046986061112,11.67613483226622,-0.7322978258132936,92.6005644,13.996,21333.96,2.923437541292268,-0.5584724366664886,150.0,42.556150396,37126587479.015945,-0.3638630867004394,-1.20918447971344,8.099637985229492,4.575619412,67.6472,11434570.6,-0.04841318782418974,5.258783475463848,Lower_middle,South America
Bosnia and Herzegovina,43.125,42.581015625,14.52077968915716,-0.5418409109115601,99.93934234619141,27.788,21683.68,,-0.5940842807292939,90.0,63.563007721999995,18562862237.8965,-0.3968089401721956,-0.22138355374336238,,6.3459340079999995,76.8518,3441235.4,-0.1875803977251051,1.30554798503795,Upper_middle,Europe
Botswana,45.63315864697472,27.543274575194538,13.42563492829304,0.7532856702804566,66.41655755615234,25.736,7235.2447,3.039230079043514,0.3894857704639434,87.0,48.183033562000006,15695278759.184301,1.0146683812141422,0.40824260711669924,8.248820018768312,4.300810814,65.38419999999999,2402107.6,0.44157620668411235,,Upper_middle,Africa
Brazil,28.334105243511118,59.891516533582866,5.68382935194092,-0.47008902430534355,99.74218040000001,45.788,451252.6,5.722648878743642,-0.3148296236991882,124.0,66.203699754,1890328554023.266,-0.4734054446220396,-0.24412980079650862,6.1855119705200226,3.912337876,74.8096,208500442.6,0.40795732140541074,27.197014836849597,Upper_middle,South America
Brunei,2.5426944971537,72.1062618595825,17.107207323155478,0.654313039779663,100.0,0.01,7050.839999999999,-0.2786033218099228,1.1350835084915178,66.0,89.21333832799999,12699022957.45956,1.175186586380004,0.5439726233482363,4.42540979385376,2.240865182,74.733,430005.8,-0.885839331150055,,High,Asia
Bulgaria,46.295910095799556,35.51031687546058,25.690770088983538,-0.23409327268600483,97.97640533447267,18.316,42017.28,1.415317446637083,0.09239697847515341,61.0,62.524178456,59867427910.115234,0.281109633669257,-0.1133002743124959,3.924700593948362,4.15519209,74.86341463414637,7076511.6,0.3968738853931426,1.34352834563481,High,Europe
Burkina Faso,44.76388888888888,23.269005847953203,12.97324414306398,-0.1917736142873764,16.34678344726562,71.22999999999999,4643.8,0.27428661752691974,-0.6780028462409973,151.0,7.850361202,14139071539.85256,-0.9536266684532156,-0.46680243015289324,5.048576653003693,2.1641572239999998,59.5586,19834747.4,-0.06074108928442003,1.0057777489037332,Low,Africa
